#:T   M               
0.1   0.975537016866  
0.2   0.949602988215  
0.3   0.923365833928  
0.4   0.895503863009  
0.5   0.86748880486   
0.6   0.838399784179  
0.7   0.801665432825  
0.8   0.768144758292  
0.9   0.726919981172  
1.0   0.686625236223  
1.05  0.658875900798  
1.1   0.631180310376  
1.15  0.597910233866  
1.2   0.563351487324  
1.25  0.526053203404  
1.3   0.47393517347   
1.35  0.419415923152  
1.4   0.332410882717  
1.45  0.212598200083  
1.5   0.0767931275131 
